property_id,purpose,type,added_on,furnishing,price,location,bed_bath_size,agent_name,img_url,breadcrumbs,amenities,description
Bayut - ATH-R-1636,For Rent,Apartment,14 August 2023,,"{'currency': 'AED', 'amount': '120,000'}","29 Boulevard 1, 29 Boulevard, Downtown Dubai, Dubai","{'bedrooms': '1 Bed', 'bathrooms': '2 Baths', 'size': '836 sqft'}",Shashi Mashruwala,https://images.bayut.com/thumbnails/435412736-800x600.jpeg,"['Dubai Apartments', 'Downtown Dubai', '29 Boulevard', '29 Boulevard 1', 'Bayut - ATH-R-1636']","['Balcony or Terrace', 'View', 'Centrally Air-Conditioned', 'Lobby in Building', 'Centrally Air-Conditioned', 'Balcony or Terrace', 'Lobby in Building', 'Reception/Waiting Room', 'Kids Play Area', 'Barbeque Area', 'CCTV Security', 'Laundry Room', 'Broadband Internet', 'View']","['Artha Realty is delighted to offer this 1 Bedroom Apartment with a lovely pool view located in the heart of Downtown Dubai. ', 'Property Features:', '- 1 Bedroom', '- 1.5 Bath', '- 836 Sq. Ft', '- Balcony', '- Pool View', '- Fully Fitted Kitchen', '- Chiller Free', '- Basement Car Parking', 'Amenities and the Facilities:', '* Swimming pool', '* Gym', '* Parking', '* BBQ Area', '* Security', '* Central A/C', '29 Boulevard, comprising of 2 high-rise apartment towers, is one of the prime building complex in Downtown Dubai, with a very high demand on their spectacular layout and location, where the residents are at close proximity to the Dubai Mall and the vibrant Sheikh Mohamed Bin Rashid Boulevard and a stone throw away from Burj Khalifa. It is developed by Emaar the epitome of high standard living. ', 'Call Shashi Mashruwala 29083 on ', ' / ', ' or visit www. artharealty. com for further details', 'Company name: Artha Realty LLC', 'RERA ORN: 24200', 'Address: Office 75, 3rd Level, Oasis Centre, Sheikh Zayed Road, Dubai UAE', 'Office phone no: ', ' (ARTHA)', 'Primary email: ', 'Website: www. artharealty. com']"
Bayut - JVC-HR-CRYRESD-1BR,For Rent,Apartment,30 May 2023,Furnished,"{'currency': 'AED', 'amount': '75,000'}","Crystal Residence, JVC District 11, Jumeirah Village Circle (JVC), Dubai","{'bedrooms': '1 Bed', 'bathrooms': '2 Baths', 'size': '827 sqft'}",Haider Abbasi,https://images.bayut.com/thumbnails/387577266-800x600.jpeg,"['Dubai Apartments', 'Jumeirah Village Circle (JVC)', 'JVC District 11', 'Crystal Residence', 'Bayut - JVC-HR-CRYRESD-1BR']","['Furnished', 'Balcony or Terrace', 'Shared Kitchen', 'Parking Spaces', ': 1', 'Furnished', 'Parking Spaces', ': 1', 'Centrally Air-Conditioned', 'Central Heating', 'Balcony or Terrace', 'Lobby in Building', 'Service Elevators', 'Gym or Health Club', 'Swimming Pool', 'Kids Play Area', 'Cafeteria or Canteen', 'Waste Disposal', 'Maintenance Staff', 'Cleaning Services', 'Security Staff', 'CCTV Security', 'Shared Kitchen', 'Laundry Facility', 'Broadband Internet', 'Intercom', '24 Hours Concierge']","['Azco Real Estate is pleased to offer this spacious 1 Bedroom Apartment in Crystal Residence, Jumeirah Village Circle. The property is spread over 827 sq. ft. and has a modern outstanding finishing. ', 'PROPERTY FEATURES:', '■ 1 Bedroom', '■ 2 Bathroom', '■ Built-in wardrobes', '■ Covered parking spaces', '■ Central A/C', '■ Balcony', '■ Shared swimming pool', '■ Gymnasium', '■ Pets allowed', '■ Barbeque area', '■ Walking & biking trails', '■ Children’s play area', '■ Squash and Tennis courts', '■ Public transportation', '■ Public parks', '■ 24/H Security', '■ PRICE DETAILS:', '■ Price: AED 75,000/-AED', '■ Cheques: 4/-', '■ Security Deposit: 10%', 'Jumeirah Village Circle has many exciting offerings for the community members. Residents will find many supermarkets, retail stores, pet stores, restaurants and bakeries once they step outside the building. The gated community provides the residents with a tranquil ambience, convenient and luxurious living. ', '■ For further details or to arrange a viewing appointment please contact Azco Real Estate. ', 'Please visit azcorealestate. ae where you will find an extensive selection of properties available both for sale and for rent. Azco Real Estate also provides Holiday Homes, Property Management and Facility Management services too. ', 'Buyers, Sellers, and Tenants can reach us anytime. Thank you for Choosing Azco Real Estate!']"
Bayut - CB-R-05383,For Rent,Apartment,4 September 2023,Unfurnished,"{'currency': 'AED', 'amount': '120,000'}","The Lofts East, The Lofts, Downtown Dubai, Dubai","{'bedrooms': '1 Bed', 'bathrooms': '2 Baths', 'size': '916 sqft'}",Aileen Dela Cruz,https://images.bayut.com/thumbnails/452153300-800x600.jpeg,"['Dubai Apartments', 'Downtown Dubai', 'The Lofts', 'The Lofts East', 'Bayut - CB-R-05383']","['Balcony or Terrace', 'Centrally Air-Conditioned', 'Lobby in Building', 'Kids Play Area']","['Coldwell Banker is delighted to offer this amazing 1 Bedroom 2 Bathrooms located in Loft East, Downtown. ', 'PROPERTY DETAILS:', '- 1 Bedroom', '- 2 Bathroom', '- Size: 916.55 Sqft. ', '- Furnishable', '- Vacant', '- Huge Layout', 'FACILITIES AND AMENITIES:', '-Gym', '-Swimming Pool', '-Lobby', '-Concierge', '-High- Fast Elevator', '-24- Hours Security / CCTV', 'NEARBY PLACES:', '-Super Market', '-Restaurants', '-5 Minutes walk to Burj Khalifa and Dubai Mall', '-Retail Nearby', '-Very near to Metro Station', 'The Lofts, Downtown Dubai is a high-rise complex of 3 buildings – The Lofts East, The Lofts West, and The Lofts Central Tower. East and West Tower have 36 floors and 174 apartments each while the Central Tower is a 32-storey building with 149 units. The project was launched in 2005 and the handover of studios, 1-bed and 2-bed apartments began in 2009. At the podium level, there’s an air-conditioned shopping arcade that is accessible from each tower via respective lobbies. ', 'Company Profile:', 'Known for its professionalism and knowledge of the markets, Coldwell Banker secures its title of being one of the largest real estate franchises with over 3600 offices and 106,000 sales associates globally. ']"
Bayut - ELY-R-09783,For Rent,Apartment,13 April 2023,Furnished,"{'currency': 'AED', 'amount': '100,000'}","Cayan Tower, Dubai Marina, Dubai","{'bedrooms': 'Studio', 'bathrooms': '1 Bath', 'size': '1,039 sqft'}",Pauline Bruin,https://images.bayut.com/thumbnails/366714608-800x600.jpeg,"['Dubai Apartments', 'Dubai Marina', 'Cayan Tower', 'Bayut - ELY-R-09783']",['Balcony or Terrace'],"['Elysian Real Estate is pleased to offer you this stunning Studio Apartment located in the prestigious Cayan Tower to the market. ', ' ', 'Property Features:', '- Furnished Studio', '- 1,038.61 Sq. Ft. ', '- Fully Fitted Kitchen with Appliances  ', '- Spacious', '- Hi-Tech Gymnasium', '- Storage Space', '- Swimming Pool & Gym', '- Close to Restaurants, Shops, Mall', '- Ref No. ELY-R-09783', '- Contact the Consultant Pauline Bruin  on ', ' BRN no. 51270. ', 'Please contact the broker Pauline Bruin  on ', ' for more information or to arrange a viewing. ', 'Cayan Tower is locate close to local shops, restaurants, and world-class amenities. Conveniently located in the heart of Dubai Marina, the Tower ensures easy access to Sheikh Zayed Road, tram, metro as well as Marina Walk and the beach.  This studio comes with fitted kitchen appliances, is bright and spacious and it is finished to a high end.  The apartment comes fully furnished and has a beautiful marina view. ', 'To find all available properties for sale and for lease with Elysian Real Estate please contact our head office on ', '.']"
Bayut - mighty-5853835,For Rent,Apartment,29 August 2023,Furnished,"{'currency': 'AED', 'amount': '180,000'}","Noora, Al Habtoor City, Business Bay, Dubai","{'bedrooms': '2 Beds', 'bathrooms': '3 Baths', 'size': '1,359 sqft'}",,https://images.bayut.com/thumbnails/446144881-800x600.jpeg,"['Dubai Apartments', 'Business Bay', 'Al Habtoor City', 'Noora', 'Bayut - mighty-5853835']","['Furnished', 'Parking Spaces', ': 1', 'Swimming Pool', 'Centrally Air-Conditioned', 'Furnished', 'Parking Spaces', ': 1', 'Centrally Air-Conditioned', 'Central Heating', 'Lobby in Building', 'Gym or Health Club', 'Swimming Pool', 'Barbeque Area', 'Security Staff', 'CCTV Security', '24 Hours Concierge']","[""Discover the perfect living space with Mighty Real Estate's offering of a large, fully furnished 2-bedroom apartment for rent in the highly sought-after Noura Tower development, located in the vibrant Business Bay. "", 'Property Details:', '- 2 Master Bedrooms with attached bathrooms', '- Walk-in Closet for added convenience', '- Fully fitted kitchen equipped with modern appliances', '- Expansive living room with a balcony for breathtaking views', '- Laundry room for hassle-free chores', '- Contemporary and modern finishing throughout', '- Situated on a high floor, offering stunning vistas', '- Floor-to-ceiling windows, allowing ample natural light', '- Bright and spacious layout, perfect for comfortable living', '- Dedicated parking space for your convenience', 'Amenities and Facilities:', '- Covered Parking for hassle-free parking', '- High-Speed Elevators for quick access', '- 24-hour Security with CCTV surveillance for peace of mind', '- 24-hour Concierge Service for personalized assistance', '- Leisure Deck for relaxation and recreation', '- Swimming Pool for a refreshing dip', '- Modern Gym for fitness enthusiasts', '- Sauna and Jacuzzi for ultimate relaxation', '- BBQ area for outdoor gatherings and entertainment', 'Vacant / High Floor / Fully Furnished / Bright', ""Business Bay is a vibrant district in Dubai, renowned for its bustling commercial and business center. It is home to a multitude of multinational corporations, startups, and local enterprises. The impressive skyline of Business Bay showcases modern high-rise buildings with innovative architectural designs, reflecting the city's commitment to progress and excellence. "", 'If you are interested in renting this apartment, please contact. Mr. Naveen ', 'Contact Mighty Real Estate today to seize this incredible opportunity and experience luxurious living in the heart of Business Bay.']"
Bayut - BB-FAI-SANDOVALGARD-3BR-I,For Rent,Townhouse,31 August 2023,Unfurnished,"{'currency': 'AED', 'amount': '180,000'}","Sandoval Garden Block A, Sandoval Garden, JVC District 14, Jumeirah Village Circle (JVC), Dubai","{'bedrooms': '3 Beds', 'bathrooms': '4 Baths', 'size': '3,403 sqft'}",Faisal Naseem,https://images.bayut.com/thumbnails/448426404-800x600.jpeg,"['Dubai Townhouses', 'Jumeirah Village Circle (JVC)', 'JVC District 14', 'Sandoval Garden', 'Sandoval Garden Block A', 'Bayut - BB-FAI-SANDOVALGARD-3BR-I']","['Balcony or Terrace', 'Shared Kitchen', 'Parking Spaces', ': 2', 'Maids Room', 'Parking Spaces', ': 2', 'Centrally Air-Conditioned', 'Central Heating', 'Balcony or Terrace', 'Gym or Health Club', 'Day Care Center', 'Kids Play Area', 'Lawn or Garden', 'Barbeque Area', 'Shared Kitchen', 'Broadband Internet', 'Satellite/Cable TV', 'Intercom', 'Maids Room']","['Azco Real Estate is pleased to offer this magnificent 3 Bedrooms Townhouse in Sandoval Gardena, Jumeirah Village Circle. The property is spread over 3403 sq. ft and has a modern outstanding finishing. ', 'PROPERTY FEATURES:', '- 3 Bedrooms ', ""- Maid's room"", '- 4 Bathrooms', '- Balcony', '- Central A/C', '- Private garage', '- Private garden', '- Pets allowed', '- Covered parking', '- Public parks', '- Shopping malls', '- Public transportation', 'Sandoval Gardens is a multi-building complex in JVC District 14, Jumeirah Village Circle, Dubai. ', 'The development comprises four individual buildings: Sandoval Apartments 1, Sandoval Apartments 2, Sandoval Gardens Townhouses 1 and Sandoval Gardens Townhouses 2. ', 'The apartments have one or two bedrooms and the 17 townhouses have three bedrooms. ', 'Facilities include a swimming pool, gymnasium, playground for children, underground car parking and 24-hour security. ', 'Visit azcorealestate. ae where you will find an extensive selection of properties available both for sale and for rent. Azco Real Estate also provides Holiday Homes, Property Management and Facility Management services to. ', 'Buyers, Sellers, and Tenants can reach us anytime.']"
Bayut - LP36556,For Rent,Villa,11 August 2023,Unfurnished,"{'currency': 'AED', 'amount': '450,000'}","Samara, Arabian Ranches 2, Dubai","{'bedrooms': '5 Beds', 'bathrooms': '5 Baths', 'size': '4,623 sqft'}",Simon Boden,https://images.bayut.com/thumbnails/430389492-800x600.jpeg,"['Dubai Villas', 'Arabian Ranches 2', 'Samara', 'Bayut - LP36556']",[],"['Welcome to this stunning & fully upgraded, single-row contemporary villa available for rent, situated in the sought-after location of Samara in Arabian Ranches 2. This impressive 5-bedroom property has been upgraded to be considered as a 6-bedroom villa, offering over 4,038 sq. ft. of built-up area in open plan living style, spread across 2 floors with a generous landscaped plot area of 4,623 sq. ft. ', 'This amazing property is available for rent, either furnished or unfurnished, catering to your preference. Given its features & prime location, demand is anticipated to be high. Enquire now & arrange a viewing before it is too late!']"
Bayut - marina 3 bhk,For Rent,Apartment,28 August 2023,Unfurnished,"{'currency': 'AED', 'amount': '285,000'}","Emirates Crown, Dubai Marina, Dubai","{'bedrooms': '3 Beds', 'bathrooms': '5 Baths', 'size': '3,881 sqft'}",Adalat khan,https://images.bayut.com/thumbnails/445191880-800x600.jpeg,"['Dubai Apartments', 'Dubai Marina', 'Emirates Crown', 'Bayut - marina 3 bhk']","['Balcony or Terrace', 'Swimming Pool', 'Sauna', 'Lobby in Building', 'Balcony or Terrace', 'Lobby in Building', 'First Aid Medical Center', 'Swimming Pool', 'Sauna', 'Kids Play Area', 'Barbeque Area', 'Cleaning Services', 'Security Staff', 'CCTV Security']","['AMAZING 3 BEDROOM IN EMIRATES CROWN BUILDING', '3 BEDROOM', 'MAID ROOM', 'MAJLIS', '5 WASHROOMS', 'AREA ', ' SFT', 'Location: Emirates Crown is situated in the Dubai Marina, a prestigious waterfront community known for its stunning skyline, luxury residences, and vibrant lifestyle. ', 'Description: Emirates Crown is a high-rise residential tower known for its distinctive architectural design. It offers a range of luxury apartments with various layouts and sizes, catering to different preferences and requirements. ', ""Features and Amenities: While specific amenities can vary, residential towers in Dubai Marina often offer a range of facilities to enhance residents' lifestyles. These may include:"", 'Swimming Pool: Most residential towers in Dubai Marina have swimming pools with lounging areas for relaxation and socializing. ', 'Gym and Fitness Facilities: Fitness centers equipped with modern equipment for residents to maintain an active lifestyle. ', 'Concierge Services: Many upscale residential buildings provide concierge services to assist residents with various needs. ', 'Parking: Adequate parking facilities are usually available for residents. ', 'Security: Security features are a priority in these developments, often including 24/7 surveillance and secure access systems. ', 'Views: One of the key attractions of the Dubai Marina area is the stunning view of the marina itself and the surrounding cityscape. Emirates Crown likely offers impressive views of both the marina and the city. ', 'Proximity: The Dubai Marina is a bustling area with a wide range of restaurants, cafes, shops, and entertainment options, making it a sought-after location for residents.']"
Bayut - L-215438,For Rent,Townhouse,11 July 2023,Unfurnished,"{'currency': 'AED', 'amount': '330,000'}","Grand Views, Meydan Gated Community, Meydan City, Dubai","{'bedrooms': '4 Beds', 'bathrooms': '5 Baths', 'size': '3,312 sqft'}",Demi Delaney,https://images.bayut.com/thumbnails/407430804-800x600.jpeg,"['Dubai Townhouses', 'Meydan City', 'Meydan Gated Community', 'Grand Views', 'Bayut - L-215438']",[],"['4 Bed | Available Now | End Unit', '- Available Now', '- Floor to ceiling Windows', '- Bright and Spacious', '- 4 Bed all with En-Suite bathrooms', '- Fitted Kitchen Appliances', '- 3,312 Sq. ft', '-10 Minutes From Downtown', '- Fantastic New Community', '- Easy Access To Road Network', '- Reference: L', '- Agent: Demi Delaney ', ""This Corner unit townhouse boasts high-spec accommodation and is located in the community of Grand Views. It's only 10 minutes from Downtown and Business Bay. The community is surrounded by the famous Meydan Racecourse, Meydan Golf club and the Meydan Hotel. Restaurants and shops are also in very close proximity. "", 'The property itself consists of 4 large bed, one downstairs, all with en-suite bathrooms and built-in storage, kitchen leading to a huge open-plan living, dining and entertaining area plus an extra sitting area upstairs and a roof top terrace', 'There is a laundry room, a maid', 'Please note all measurements and information are given to the best of our knowledge. Allsopp & Allsopp accept no liability for any incorrect details.']"
Bayut - BB-FAI-MIRABELLA6-3BR-I,For Rent,Villa,24 August 2023,Unfurnished,"{'currency': 'AED', 'amount': '170,000'}","Mirabella 6, JVC District 11, Jumeirah Village Circle (JVC), Dubai","{'bedrooms': '3 Beds', 'bathrooms': '4 Baths', 'size': '2,101 sqft'}",Faisal Naseem,https://images.bayut.com/thumbnails/441878808-800x600.jpeg,"['Dubai Villas', 'Jumeirah Village Circle (JVC)', 'JVC District 11', 'Mirabella 6', 'Bayut - BB-FAI-MIRABELLA6-3BR-I']","['Shared Kitchen', 'Parking Spaces', ': 1', 'Maids Room', 'Centrally Air-Conditioned', 'Parking Spaces', ': 1', 'Centrally Air-Conditioned', 'Central Heating', 'Day Care Center', 'Kids Play Area', 'Lawn or Garden', 'Barbeque Area', 'Shared Kitchen', 'Broadband Internet', 'Satellite/Cable TV', 'Intercom', 'Maids Room']","['Azco Real Estate is pleased to offer this magnificent 4-bedroom villa in Mirabella 6. The property is spread over 2101 sq. ft and has a modern outstanding finishing. . ', 'PROPERTY DETAILS:', '-3 Bedroom', '-Maid Room', '-4 Bathroom', '-Balconies', '-Open Kitchen', '-Unfurnished', '-Built in Wardrobes', '-Premium and High-end Finishing', '-Private Parking spaces', '-Jogging track and landscaped parks', '-Children’s play area', '-Near JVC Circle Mall', '-Spacious Barbeque and Patio Area', '-Minor Garden Space at Entrance', '-Mirabella 4 is 21 mins via car to Dubai Mall', '-16 mins to Palm Jumeirah', '-18 mins to Burj Al Arab', 'Mirabella JVC is a family-friendly community that consists of 3 bedroom villas and a range of amenities and facilities a short drive away. Amenities like restaurants, supermarkets, schools, salons, and gyms are near the community. ', 'Visit our website azcorealestate. ae where you will find an extensive selection of properties available both for sale and for rent. Azco Real Estate also provides holiday homes, property management, and facility management services. ', 'Buyers, sellers, and tenants can reach us anytime. Thank you for choosing Azco Real Estate!']"
